id;lat;lon;elevation;huette;visited;visitdate
77;46.71810105443000;8.72047707438468;0;Etzlihütte SAC;False;
78;46.86895821243520;9.96471092104911;0;Fergenhütte SAC;False;
79;46.52193551883100;8.11464082449674;0;Finsteraarhornhütte SAC;False;
80;46.82127532549200;8.95007089711725;0;Fridolinshütten SAC;False;
81;46.48363592103120;7.74180798791348;0;Fruendenhütte SAC;False;
82;46.62378570064900;8.21656250394880;0;Gaulihütte SAC;False;
83;46.63121927529570;8.34275649860501;0;Gelmerhütte SAC;False;
84;46.36957221664480;7.33909240923821;0;Geltenhütte SAC;False;
85;47.00157735496750;8.96343508735299;0;Glaernischhütte SAC;False;
86;46.91689029335970;8.87503115460276;0;Glattalphütte SAC;False;
87;46.62508011795580;8.09671302326023;0;Glecksteinhütte SAC;False;
88;46.81050349026910;8.94138154573738;0;Gruenhornhütte SAC;False;
89;46.51272397488350;7.81015612185001;0;Gspaltenhornhütte SAC;True;2018-06-10
90;46.56275002285830;7.97440068796277;0;Guggihütte SAC;False;
91;46.47528612054880;7.96025304123759;0;Hollandiahütte SAC;False;
92;46.80179175920780;8.81889863871037;0;Huefihütte SAC;False;
93;47.25476950407020;9.42232316359877;0;Hundsteinhütte SAC;False;
94;46.64499124512070;9.87583919428288;0;Kesch-Hütte SAC;False;
95;46.50058547034850;8.05322469212114;0;Konkordiahütte SAC;False;
96;46.80006567388770;8.57543796300888;0;Kroentenhütte SAC;False;
97;45.94142720103260;7.45411005802452;0;L'Aiguillette a la Singla CAS;False;
98;46.40030027367170;7.57451483979821;0;Laemmerenhütte SAC;False;
99;46.54155629687010;9.04175014235079;0;Laenta-Hütte SAC;False;
100;46.16450493223960;8.04531678557395;0;Laggin Biwak SAC;False;
101;46.57003926113240;8.22231039404869;0;Lauteraarhütte SAC;False;
102;46.92735778167840;9.08018192276358;0;Leglerhütte SAC;False;
103;46.78360453806810;8.60115255229175;0;Leutschachhütte SAC;False;
104;46.93522453308100;8.69282400235533;0;Lidernenhütte SAC;False;
105;46.47457080893210;7.59970111772418;0;Lohnerhütte SAC;False;
106;46.89264580607410;9.18832247145473;0;Martinsmadhütte SAC;False;
107;46.64108670316630;8.91393835656344;0;Medelserhütte SAC;False;
108;46.10932745039460;7.88924063555896;0;Mischabelhütte;False;
109;46.07374912127850;7.86619819700717;0;Mischabeljochbiwak SAC;False;
110;46.46490060724310;8.02381452172994;0;Mittelaletschbiwak SAC;False;
